,lat,long,irr_data
0,-34.0,-56.0,114.47861415525114
1,-34.0,-54.0,104.37697716894976
2,-32.0,-60.0,121.05449086757991
3,-32.0,-58.0,119.48178310502283
4,-32.0,-56.0,110.6712848173516
5,-32.0,-54.0,106.79545605022832
6,-32.0,-52.0,108.94206621004567
7,-32.0,20.0,188.86747602739726
8,-32.0,22.0,186.7773350456621
9,-32.0,24.0,170.6070348173516
10,-32.0,26.0,165.72929965753426
11,-32.0,28.0,124.33983618721462
12,-30.0,-60.0,122.20434589041093
13,-30.0,-58.0,119.05578595890411
14,-30.0,-56.0,116.28718150684931
15,-30.0,-54.0,110.44589155251141
16,-30.0,-52.0,101.81087728310503
17,-30.0,18.0,198.80206449771686
18,-30.0,20.0,197.50083847031962
19,-30.0,22.0,193.51153025114155
20,-30.0,24.0,186.47996232876713
21,-30.0,26.0,176.26146860730594
22,-30.0,28.0,169.913301369863
23,-30.0,30.0,113.18551712328767
24,-30.0,116.0,168.92399885844748
25,-28.0,-62.0,117.49376198630137
26,-28.0,-60.0,119.76818550228312
27,-28.0,-58.0,120.30868378995434
28,-28.0,-56.0,110.47839383561643
29,-28.0,-54.0,111.06202054794521
30,-28.0,-52.0,107.66111472602739
31,-28.0,-50.0,93.4419600456621
32,-28.0,16.0,192.29385159817352
33,-28.0,18.0,205.39834474885845
34,-28.0,20.0,200.1171021689498
35,-28.0,22.0,190.7837665525114
36,-28.0,24.0,177.04152682648402
37,-28.0,26.0,181.99212728310502
38,-28.0,28.0,163.270404109589
39,-28.0,30.0,149.4245502283105
40,-28.0,32.0,111.50299315068493
41,-28.0,116.0,180.19775171232877
42,-26.0,-62.0,109.91317294520549
43,-26.0,-60.0,115.03006792237443
44,-26.0,-58.0,117.84378253424659
45,-26.0,-56.0,110.19214783105024
46,-26.0,-54.0,107.96624942922374
47,-26.0,-52.0,102.46379680365297
48,-26.0,-50.0,85.3352305936073
49,-26.0,16.0,214.6491107305936
50,-26.0,18.0,204.5803076484018
51,-26.0,20.0,195.8085
52,-26.0,22.0,189.48056506849315
53,-26.0,24.0,182.56078538812787
54,-26.0,26.0,170.69574200913243
55,-26.0,28.0,159.97536015981734
56,-26.0,30.0,151.85292066210044
57,-26.0,32.0,123.80843093607305
58,-26.0,116.0,193.56401655251142
59,-24.0,-62.0,101.87113755707763
60,-24.0,-60.0,112.0292294520548
61,-24.0,-58.0,118.4346997716895
62,-24.0,-56.0,116.37157305936073
63,-24.0,-54.0,119.40269691780823
64,-24.0,-52.0,121.73067522831049
65,-24.0,-50.0,116.22584303652968
66,-24.0,-48.0,80.80732648401826
67,-24.0,16.0,207.99778595890407
68,-24.0,18.0,198.2928595890411
69,-24.0,20.0,190.29186015981736
70,-24.0,22.0,185.74304052511414
71,-24.0,24.0,183.51586643835617
72,-24.0,26.0,174.14794577625568
73,-24.0,28.0,162.88341894977168
74,-24.0,30.0,123.59621803652966
75,-24.0,32.0,141.16875228310502
76,-24.0,34.0,145.2945439497717
77,-24.0,44.0,187.53943550228308
78,-24.0,46.0,175.0970154109589
79,-24.0,114.0,203.55193150684931
80,-24.0,116.0,198.9881455479452
81,-22.0,-64.0,94.10807363013699
82,-22.0,-60.0,113.44376826484019
83,-22.0,-58.0,120.96405936073059
84,-22.0,-56.0,115.87958675799086
85,-22.0,-54.0,126.96796347031965
86,-22.0,-52.0,131.11889611872147
87,-22.0,-50.0,133.98069349315068
88,-22.0,-48.0,130.07165867579909
89,-22.0,-46.0,132.8927950913242
90,-22.0,-44.0,107.91268778538813
91,-22.0,-42.0,129.55838984018263
92,-22.0,16.0,199.21802226027395
93,-22.0,18.0,185.3452317351598
94,-22.0,20.0,185.38925171232873
95,-22.0,22.0,184.56157876712328
96,-22.0,24.0,184.6071969178082
97,-22.0,26.0,181.4170901826484
98,-22.0,28.0,163.98368207762556
99,-22.0,30.0,166.41938926940637
100,-22.0,32.0,151.86602682648402
101,-22.0,34.0,149.23369235159817
102,-22.0,44.0,186.8676015981735
103,-22.0,46.0,195.79801712328765
104,-22.0,48.0,154.19467751141553
105,-22.0,114.0,204.3344098173516
106,-22.0,116.0,198.56130764840182
107,-20.0,-64.0,99.25370719178082
108,-20.0,-62.0,104.29699257990868
109,-20.0,-60.0,115.18691609589041
110,-20.0,-58.0,128.06993607305938
111,-20.0,-56.0,131.50978710045663
112,-20.0,-54.0,130.98169634703194
113,-20.0,-52.0,139.54139383561642
114,-20.0,-50.0,149.8308156392694
115,-20.0,-48.0,146.92666267123286
116,-20.0,-46.0,146.01894805936075
117,-20.0,-44.0,135.46869805936072
118,-20.0,-42.0,118.29733162100456
119,-20.0,14.0,205.6695593607306
120,-20.0,16.0,184.32428025114157
121,-20.0,18.0,181.6319937214612
122,-20.0,20.0,182.3959160958904
123,-20.0,22.0,183.7164497716895
124,-20.0,24.0,181.18583047945205
125,-20.0,26.0,186.27835502283105
126,-20.0,28.0,174.94120148401828
127,-20.0,30.0,168.49455878995434
128,-20.0,32.0,167.99830136986301
129,-20.0,34.0,143.17494748858448
130,-20.0,46.0,187.74573687214613
131,-20.0,48.0,128.03960787671232
132,-18.0,-70.0,217.30597146118723
133,-18.0,-68.0,216.2576484018265
134,-18.0,-66.0,192.75238755707764
135,-18.0,-64.0,82.21910730593609
136,-18.0,-62.0,124.44604965753425
137,-18.0,-60.0,128.1614200913242
138,-18.0,-58.0,135.69677283105023
139,-18.0,-56.0,143.74809988584474
140,-18.0,-54.0,141.53907363013698
141,-18.0,-52.0,140.47758561643835
142,-18.0,-50.0,161.5452973744292
143,-18.0,-48.0,164.2175462328767
144,-18.0,-46.0,164.15066780821917
145,-18.0,-44.0,175.16825285388128
146,-18.0,-42.0,153.1555930365297
147,-18.0,-40.0,133.65075057077627
148,-18.0,12.0,211.41126655251142
149,-18.0,14.0,196.56301997716898
150,-18.0,16.0,199.42880308219176
151,-18.0,18.0,182.45626541095888
152,-18.0,20.0,182.08049828767122
153,-18.0,22.0,179.89256107305937
154,-18.0,24.0,185.13898515981737
155,-18.0,26.0,181.71065296803653
156,-18.0,28.0,174.35073059360732
157,-18.0,30.0,174.62968264840183
158,-18.0,32.0,162.32549143835615
159,-18.0,34.0,145.22976484018264
160,-18.0,36.0,139.82460502283104
161,-18.0,46.0,174.62507762557078
162,-18.0,48.0,125.27712671232875
163,-16.0,-74.0,144.7708184931507
164,-16.0,-72.0,196.14174372146118
165,-16.0,-70.0,201.86759760273972
166,-16.0,-68.0,62.776624999999996
167,-16.0,-66.0,117.71646746575342
168,-16.0,-64.0,120.69224257990867
169,-16.0,-62.0,121.83579794520546
170,-16.0,-60.0,132.8042226027397
171,-16.0,-58.0,135.58732933789955
172,-16.0,-56.0,138.1559006849315
173,-16.0,-54.0,146.8951660958904
174,-16.0,-52.0,157.15192465753424
175,-16.0,-50.0,157.8298978310502
176,-16.0,-48.0,160.7665941780822
177,-16.0,-46.0,180.0050616438356
178,-16.0,-44.0,186.63836244292236
179,-16.0,-42.0,153.0023533105023
180,-16.0,-40.0,149.55249086757988
181,-16.0,12.0,192.4213926940639
182,-16.0,14.0,189.90913356164384
183,-16.0,16.0,183.6326329908676
184,-16.0,18.0,178.4768116438356
185,-16.0,20.0,173.85759360730594
186,-16.0,22.0,178.45907191780825
187,-16.0,24.0,174.19281107305935
188,-16.0,26.0,177.99000285388126
189,-16.0,28.0,169.07197431506847
190,-16.0,30.0,172.15740011415525
191,-16.0,32.0,163.3545165525114
