,name,lat,long,irr_data
128,Netherlands,52.5,5.75,53.11222748364522
129,Norway,62.0,10.0,32.64214494903393
130,Nepal,28.0,84.0,129.56583618591205
131,Oman,21.0,57.0,188.94775045641262
132,Panama,9.0,-80.0,99.47383690856535
133,Peru,-10.0,-76.0,97.19883120340788
134,Pakistan,30.0,70.0,129.65975353719762
135,Poland,52.0,20.0,61.80446067244789
136,Saint Pierre and Miquelon,46.83,-56.33,69.63324813631522
137,Puerto Rico,18.25,-66.5,108.53438346265023
138,Palestinian Territory,32.0,35.25,160.39590883158377
139,Portugal,39.5,-8.0,131.13515860337748
140,Paraguay,-23.0,-58.0,125.6806195801004
141,Qatar,25.5,51.25,177.6343655864902
142,Reunion,-21.1,55.6,82.28634603681728
143,Romania,46.0,25.0,82.92331393579796
144,Serbia,44.0,21.0,86.5853826258938
145,Russian Federation,56.0,44.4,64.71100677012018
146,Rwanda,-2.0,30.0,126.87564106952685
147,Saudi Arabia,25.0,45.0,181.43988798874182
148,Sudan,15.0,30.0,195.9730971398144
149,Sweden,62.0,15.0,40.53600810132359
150,Singapore,1.37,103.8,92.95888635326335
151,Saint Helena,-15.93,-5.7,112.50735546934429
152,Slovenia,46.0,15.0,76.4285771337289
153,Slovakia,48.67,19.5,57.09722824433288
154,Sierra Leone,8.5,-11.5,121.4828194888179
155,San Marino,43.77,12.42,93.84333941883462
156,Senegal,14.0,-14.0,167.0892729727674
157,Somalia,10.0,49.0,213.66904362543735
158,Suriname,4.0,-56.0,137.99837916476494
159,El Salvador,13.83,-88.92,163.23099022516354
160,Syrian Arab Republic,35.0,38.0,154.045202342918
161,Swaziland,-26.5,31.5,125.12445173436785
162,Chad,15.0,19.0,192.54123136315232
163,Togo,8.0,1.17,141.13512570363608
164,Thailand,15.0,100.0,135.37739882854098
165,Tajikistan,39.0,71.0,81.48596322075156
166,Turkmenistan,40.0,60.0,130.57759432527007
167,Tunisia,34.16,9.16,164.2842718317359
168,Turkey,39.0,35.0,121.08788167503423
169,Trinidad and Tobago,10.5,-61.2,131.23852350524874
170,"Tanzania, United Republic of",-6.0,35.0,195.499966339571
171,Ukraine,49.0,32.0,77.04420203864294
172,Uganda,1.0,32.0,135.59850657994826
173,United States,38.0,-97.0,131.24814962726302
174,Uruguay,-33.0,-56.0,123.97639928495359
175,Uzbekistan,41.0,64.0,130.9387562756732
176,Holy See (Vatican City State),41.9,12.45,121.34999030123231
177,Saint Vincent and the Grenadines,13.25,-61.2,148.27090597900502
178,Venezuela,8.0,-66.0,157.17953636087023
179,Vietnam,16.0,106.0,102.15601000304274
180,Yemen,15.0,48.0,204.19484082610683
181,Mayotte,-12.83,45.17,154.69304446219382
182,South Africa,-29.0,24.0,181.74148124904912
183,Zambia,-15.0,30.0,159.3002763197931
184,Zimbabwe,-20.0,30.0,165.75012893655864
