"Country/area",Technology,Data Type,Grid connection,Year,Electricity statistics
"Georgia",Solar photovoltaic,Electricity Generation (GWh),All,2021,23.3250
"Germany",Solar photovoltaic,Electricity Generation (GWh),All,2021,49340.0000
"Ghana",Solar photovoltaic,Electricity Generation (GWh),All,2021,148.8270
"Greece",Solar photovoltaic,Electricity Generation (GWh),All,2021,5250.9780
"Greenland",Solar photovoltaic,Electricity Generation (GWh),All,2021,0.5170
"Grenada",Solar photovoltaic,Electricity Generation (GWh),All,2021,4.3730
"Guadeloupe",Solar photovoltaic,Electricity Generation (GWh),All,2021,113.8030
"Guam",Solar photovoltaic,Electricity Generation (GWh),All,2021,83.1970
"Guatemala",Solar photovoltaic,Electricity Generation (GWh),All,2021,241.1400
"Guinea",Solar photovoltaic,Electricity Generation (GWh),All,2021,22.5250
"Guinea-Bissau",Solar photovoltaic,Electricity Generation (GWh),All,2021,1.8890
"Guyana",Solar photovoltaic,Electricity Generation (GWh),All,2021,13.5870
"Haiti",Solar photovoltaic,Electricity Generation (GWh),All,2021,4.4730
"Honduras",Solar photovoltaic,Electricity Generation (GWh),All,2021,1087.5970
"Hungary",Solar photovoltaic,Electricity Generation (GWh),All,2021,3796.0000
"Iceland",Solar photovoltaic,Electricity Generation (GWh),All,2021,5.4190
"India",Solar photovoltaic,Electricity Generation (GWh),All,2021,65581.3600
"Indonesia",Solar photovoltaic,Electricity Generation (GWh),All,2021,192.6200
"Iran (Islamic Republic of)",Solar photovoltaic,Electricity Generation (GWh),All,2021,583.8680
"Iraq",Solar photovoltaic,Electricity Generation (GWh),All,2021,376.5450
"Ireland",Solar photovoltaic,Electricity Generation (GWh),All,2021,92.9800
"Israel",Solar photovoltaic,Electricity Generation (GWh),All,2021,4574.0000
"Italy",Solar photovoltaic,Electricity Generation (GWh),All,2021,25038.9900
"Jamaica",Solar photovoltaic,Electricity Generation (GWh),All,2021,132.2520
"Japan",Solar photovoltaic,Electricity Generation (GWh),All,2021,86094.0000
