longitude,latitude,wind_speed
0.0,-90.0,3.95366711916396
0.0,-85.0,5.698995276135867
0.0,-80.0,6.382145407573468
0.0,-75.0,4.2793801875784245
0.0,-70.0,4.630855001391744
0.0,-65.0,2.711447997957442
0.0,-60.0,4.7620053320490054
0.0,-55.0,6.00747519607614
0.0,-50.0,6.804805940307035
0.0,-45.0,6.796652734989319
0.0,-40.0,5.973445636927103
0.0,-35.0,3.435177886551413
0.0,-30.0,2.4197943996777243
0.0,-25.0,5.180836274500135
0.0,-20.0,7.091726581359805
0.0,-15.0,7.021271099400991
0.0,-10.0,6.165286010225508
0.0,-5.0,5.312114716399732
0.0,0.0,4.440320698175874
0.0,5.0,4.346992388224483
0.0,10.0,1.9597364957787928
0.0,15.0,2.7657397732693574
0.0,20.0,2.2045070063932743
0.0,25.0,2.672914047568567
0.0,30.0,2.533553972321272
0.0,35.0,0.7840882132959964
0.0,40.0,1.0410523815858903
0.0,45.0,1.310023085016667
0.0,50.0,3.979314496047212
0.0,55.0,2.7590269126583244
0.0,60.0,2.6120921320178003
0.0,65.0,3.2170223094571146
0.0,70.0,3.1966279012420724
0.0,75.0,3.179844067581348
0.0,80.0,3.5335117314068683
0.0,85.0,2.6988862875679662
0.0,90.0,2.767396012253789
5.0,-90.0,3.95366711916396
5.0,-85.0,5.396100421579405
5.0,-80.0,6.476077335669089
5.0,-75.0,4.870905444343253
5.0,-70.0,5.763693585785966
5.0,-65.0,2.6094955620184463
5.0,-60.0,4.900248035536368
5.0,-55.0,6.163626268352776
5.0,-50.0,6.535950866138159
5.0,-45.0,7.01784426216341
5.0,-40.0,5.9706509121408535
5.0,-35.0,3.8899426016002265
5.0,-30.0,3.4819894903043167
5.0,-25.0,6.357922129079064
5.0,-20.0,7.532803720467379
5.0,-15.0,6.738204971154205
5.0,-10.0,5.1596829249853835
5.0,-5.0,4.606098256192438
5.0,0.0,4.089268423836902
5.0,5.0,3.8579742717130614
5.0,10.0,1.4044480985724561
5.0,15.0,2.805338938674847
5.0,20.0,2.6458913729722338
5.0,25.0,1.6400798173705011
5.0,30.0,2.243821037076068
5.0,35.0,1.7435859188500673
5.0,40.0,2.891192345813931
5.0,45.0,1.0810071474458909
5.0,50.0,2.280418895268242
5.0,55.0,3.2846899519190402
5.0,60.0,1.8760771481121588
5.0,65.0,3.077191986400712
5.0,70.0,3.250363702791589
5.0,75.0,3.0794825438344695
5.0,80.0,3.2883398412189457
5.0,85.0,2.810638704536681
5.0,90.0,2.767396012253789
10.0,-90.0,3.95366711916396
10.0,-85.0,5.189900005972709
10.0,-80.0,6.475618734432814
10.0,-75.0,4.37551644738059
10.0,-70.0,6.440935444176983
10.0,-65.0,2.5114497062467507
10.0,-60.0,5.147973014328848
